-0.7617,-0.3854,-0.2638,-0.3382,-0.1262,-0.1654
-0.3479,-0.5107,-0.4440,-0.4797,-0.4081,-0.4456
-0.7988,-0.6673,-0.6596,-0.6743,-0.6896,-0.6869
-0.9344,-0.9331,-0.9526,-0.9411,-0.9564,-0.9471
-0.6988,-0.1817,-0.5472,-0.5523,-0.4518,-0.1179
-0.4648,-0.6700,-0.6284,-0.5607,-0.3402,-0.4997
-0.7886,-0.5950,-0.0505,-0.3682,-0.3474,-0.2694
-0.7470,-0.7654,-0.3673,-0.0391,-0.6404,-0.6327
-0.9538,-0.7862,-0.8095,-0.8161,-0.4956,-0.8139
-0.9624,-0.9695,-0.2604,-0.0986,0.0552,-0.4883
-0.8544,-0.3363,-0.2351,-0.3331,-0.3140,-0.2907
-0.6113,-0.5847,-0.0891,0.3638,-0.0360,0.2780
-0.9038,-0.8962,-0.8960,-0.9008,-0.8991,-0.5409
-0.9440,-0.9669,-0.9671,-0.9696,-0.9717,-0.9721
-0.9090,-0.3178,-0.4936,-0.5202,-0.5248,-0.5447
-0.3939,-0.2199,-0.2104,-0.0250,-0.1330,-0.0658
-0.6553,-0.6890,-0.6343,-0.1766,-0.4131,-0.0732
-0.9826,-0.9004,-0.9044,-0.9066,-0.9134,-0.9110
-0.9250,-0.9344,-0.9398,-0.9454,-0.9509,-0.9524
-0.9343,-0.9468,-0.8513,-0.2695,-0.6860,-0.7076
-0.3716,-0.2504,-0.1334,-0.2783,-0.2699,-0.2618
-0.1606,-0.3543,-0.3914,-0.2944,-0.3455,-0.2662
-0.9820,-0.8522,-0.8604,-0.8674,-0.8601,-0.7339
-0.9389,-0.9512,-0.9640,-0.9610,,-0.9655
-0.9751,-0.6981,-0.7326,-0.7530,-0.7641,-0.3941
-0.1939,-0.1255,-0.1174,-0.0945,-0.0058,-0.0898
-0.1295,-0.0929,-0.1200,-0.0949,-0.0288,-0.2121
-0.2843,-0.1222,-0.0346,-0.0032,-0.0108,-0.1177
-0.2919,-0.1982,-0.2199,-0.0968,-0.0618,-0.0907
-0.2119,-0.1300,-0.0436,0.0018,0.0198,-0.0541
-0.8125,-0.0843,-0.1420,-0.0312,-0.1696,-0.1248
-0.7108,-0.2584,-0.0104,-0.3056,-0.0310,-0.2093
-0.0241,-0.0581,0.0258,0.1039,0.1266,0.0838
-0.7231,-0.2830,-0.2402,-0.3274,-0.2489,-0.2812
-0.1487,-0.0545,-0.0407,-0.0124,0.0342,-0.0006
-0.7552,-0.6376,-0.6495,-0.6417,-0.2596,-0.3792
-0.7314,-0.3103,-0.3719,-0.2196,-0.2551,-0.2900
-0.8770,-0.2802,-0.6854,-0.7047,-0.7000,-0.7097
-0.5605,-0.7363,-0.7356,-0.7410,-0.7347,-0.7480
-0.4397,-0.7054,-0.2863,-0.2937,-0.2333,-0.4506
-0.9406,-0.9495,-0.9557,-0.9556,-0.8902,-0.9605
-0.7325,-0.7462,-0.7518,-0.7392,-0.5930,-0.5899
,-0.9298,-0.9344,-0.6928,-0.7019,-0.6869
-0.9461,-0.7121,-0.7054,-0.6614,-0.1245,-0.3584
-0.7208,-0.7622,-0.7578,-0.7587,-0.3705,-0.4172
-0.2731,-0.2881,-0.0209,-0.0340,-0.0938,-0.0747
-0.9503,-0.1247,-0.5445,-0.6317,-0.6505,-0.6202
-0.2828,-0.0378,-0.0938,-0.0234,-0.0351,-0.0333
-0.9470,-0.9574,0.0766,-0.9002,-0.9019,-0.3582
-0.5502,-0.4834,-0.1653,-0.0092,-0.0759,-0.0687
